Uke,År,Lokalitetsnummer,Lokalitetsnavn,Voksne hunnlus,Lus i bevegelige stadier,Fastsittende lus,Trolig uten fisk,Har telt lakselus,Kommunenummer,Kommune,Fylkesnummer,Fylke,Lat,Lon,Lusegrense uke,Over lusegrense uke,Sjøtemperatur,ProduksjonsområdeId,Produksjonsområde
33,2016,15196,Aga Ø,0.23,1.83,0.4,Nei,Ja,1219,BØMLO,12,Hordaland,59.8451,5.261367,0.5,Nei,14,3,Karmøy til Sotra
33,2016,12067,Aldalen,,,,Ja,Nei,1243,OS I HORDALAND,12,Hordaland,60.24995,5.571917,0.5,,,3,Karmøy til Sotra
33,2016,12982,Aldeøyna,,,,Ja,Nei,1428,ASKVOLL,14,Sogn og Fjordane,61.31025,4.76905,0.5,,,4,Nordhordaland til Stadt
33,2016,11756,Allersholmen,,,,Ja,Nei,1264,AUSTRHEIM,12,Hordaland,60.77465,4.8536,0.5,,,4,Nordhordaland til Stadt
33,2016,13271,Almurden,,,,Ja,Nei,1749,FLATANGER,17,Nord-Trøndelag,64.433235,10.68095,0.5,,,7,Nord-Trøndelag med Bindal
33,2016,11416,Alsvåg,,,,Ja,Nei,1868,ØKSNES,18,Nordland,68.9027,15.28675,0.5,,,9,Vestfjorden og Vesterålen
33,2016,12086,Alsåkervik,,,,Ja,Nei,1224,KVINNHERAD,12,Hordaland,59.7601,6.074183,0.5,,,3,Karmøy til Sotra
33,2016,13227,Altaneset,,,,Ja,Nei,1241,FUSA,12,Hordaland,60.247116,5.63475,0.5,,,3,Karmøy til Sotra
33,2016,11179,Alterosen,,,,Nei,Nei,1865,VÅGAN,18,Nordland,68.20737,14.446867,0.5,,12.5,9,Vestfjorden og Vesterålen
33,2016,11513,Andal,0,0.1,0.12,Nei,Ja,1219,BØMLO,12,Hordaland,59.6365,5.247133,0.5,Nei,14.9,3,Karmøy til Sotra
33,2016,32277,Andholmen 1,0,0,0,Nei,Ja,1573,SMØLA,15,Møre og Romsdal,63.469784,7.8556,0.5,Nei,14.8,6,Nordmøre og Sør-Trøndelag
33,2016,32297,Andholmen 2,0,0.05,0,Nei,Ja,1573,SMØLA,15,Møre og Romsdal,63.46745,7.847167,0.5,Nei,14.8,6,Nordmøre og Sør-Trøndelag
33,2016,33257,Andreggrunnen,,,,Ja,Nei,1141,FINNØY,11,Rogaland,59.238884,5.740617,0.5,,,2,Ryfylke
33,2016,30156,Anevik,,,,Ja,Nei,1848,STEIGEN,18,Nordland,68.00592,15.264333,0.5,,,9,Vestfjorden og Vesterålen
33,2016,13563,Angelskår,0,0.01,0,Nei,Ja,1253,OSTERØY,12,Hordaland,60.524418,5.3568,0.5,Nei,13.6,4,Nordhordaland til Stadt
33,2016,13518,Angstauren,0,0.07,0.68,Nei,Ja,1902,TROMSØ,19,Troms,69.695335,18.170267,0.5,Nei,11.6,11,Kvaløya til Loppa
33,2016,29816,Apalvikneset,0.02,0.09,0.01,Nei,Ja,1227,JONDAL,12,Hordaland,60.146217,6.121133,0.5,Nei,14.91,3,Karmøy til Sotra
33,2016,12085,Aplavika,0.3,0,0,Nei,Ja,1238,KVAM,12,Hordaland,60.25865,6.055333,0.5,Nei,14.7,3,Karmøy til Sotra
33,2016,11119,Arnøysundet,,,,Ja,Nei,1838,GILDESKÅL,18,Nordland,67.14978,13.991,0.5,,,8,Helgeland til Bodø
33,2016,12668,Astridholmen,,,,Ja,Nei,1751,NÆRØY,17,Nord-Trøndelag,64.80798,11.542583,0.5,,,7,Nord-Trøndelag med Bindal
33,2016,20496,Atlatveit,,,,Ja,Nei,1141,FINNØY,11,Rogaland,59.227734,5.984233,0.5,,,2,Ryfylke
33,2016,14016,Auenes,,,,Nei,Nei,0926,LILLESAND,09,Aust-Agder,58.140266,8.2553,0.5,,17,1,Svenskegrensen til Jæren
33,2016,32077,Aukan,,,,Ja,Nei,1576,AURE,15,Møre og Romsdal,63.162266,8.309633,0.5,,,6,Nordmøre og Sør-Trøndelag
33,2016,13254,Aukan,0.45,0.76,1.34,Nei,Ja,1554,AVERØY,15,Møre og Romsdal,63.0603,7.594283,0.5,Nei,15.5,6,Nordmøre og Sør-Trøndelag
33,2016,12988,Aukrasanden,0.01,0.1,0.01,Nei,Ja,1547,AUKRA,15,Møre og Romsdal,62.783417,6.92605,0.5,Nei,15.16,5,Stadt til Hustadvika
33,2016,10870,Aunholmen Ø,,,,Ja,Nei,1816,VEVELSTAD,18,Nordland,65.7061,12.622733,0.5,,,8,Helgeland til Bodø
33,2016,12357,Aursøysva,0.42,1.92,0.2,Nei,Ja,1620,FRØYA,16,Sør-Trøndelag,63.801968,8.910767,0.5,Nei,14.3,6,Nordmøre og Sør-Trøndelag
33,2016,10275,Auskarnes Ø,,,,Ja,Nei,2014,LOPPA,20,Finnmark,70.14145,22.3542,0.5,,,12,Vest-Finnmark
33,2016,11800,Austneståa,0.17,0.49,0.25,Nei,Ja,1401,FLORA,14,Sogn og Fjordane,61.490818,5.171167,0.5,Nei,14.3,4,Nordhordaland til Stadt
33,2016,26795,Austvika,,,,Ja,Nei,1749,FLATANGER,17,Nord-Trøndelag,64.41853,10.696033,0.5,,,7,Nord-Trøndelag med Bindal
33,2016,13572,Badstuvika,0.1,2,0,Nei,Ja,1617,HITRA,16,Sør-Trøndelag,63.53398,9.1469,0.5,Nei,14.5,6,Nordmøre og Sør-Trøndelag
33,2016,13341,Bakjestranda,,,,Ja,Nei,1438,BREMANGER,14,Sogn og Fjordane,61.819984,4.940183,0.5,,,4,Nordhordaland til Stadt
33,2016,19395,Bakka,,,,Ja,Nei,1238,KVAM,12,Hordaland,60.23498,6.006217,0.5,,,3,Karmøy til Sotra
33,2016,32537,Baltsfjord,0.02,0.02,0,Nei,Ja,1931,LENVIK,19,Troms,69.5463,17.7697,0.5,Nei,10.9,10,Andøya til Senja
33,2016,13305,Barbogen,0.06,0.1,0.48,Nei,Ja,1928,TORSKEN,19,Troms,69.36843,17.0281,0.5,Nei,12.5,10,Andøya til Senja
33,2016,13873,Barlingebotten,,,,Ja,Nei,1266,MASFJORDEN,12,Hordaland,60.863083,5.364017,0.5,,,4,Nordhordaland til Stadt
33,2016,31877,Barøya,0.03,0.6,0.08,Nei,Ja,1703,NAMSOS,17,Nord-Trøndelag,64.6206,11.233183,0.5,Nei,14.5,7,Nord-Trøndelag med Bindal
33,2016,18235,Bastli,,,,Ja,Nei,1133,HJELMELAND,11,Rogaland,59.2694,6.193083,0.5,,,2,Ryfylke
33,2016,13845,Beitveit,0.01,0.23,0.07,Nei,Ja,1441,SELJE,14,Sogn og Fjordane,62.141216,5.32675,0.5,Nei,14.99,5,Stadt til Hustadvika
33,2016,25055,Bekksneset,0.05,0.52,0,Nei,Ja,1413,HYLLESTAD,14,Sogn og Fjordane,61.07662,5.38595,0.5,Nei,14.45,4,Nordhordaland til Stadt
33,2016,12095,Bergadalen,0,0.2,0,Nei,Ja,1238,KVAM,12,Hordaland,60.1216,5.908883,0.5,Nei,15.2,3,Karmøy til Sotra
33,2016,20396,Bergsnes V,0.2,0.35,0.08,Nei,Ja,2012,ALTA,20,Finnmark,70.22971,23.336117,0.5,Nei,12.7,12,Vest-Finnmark
33,2016,13872,Bergsvik,,,,Ja,Nei,1266,MASFJORDEN,12,Hordaland,60.86295,5.3474,0.5,,,4,Nordhordaland til Stadt
33,2016,30397,Bergsøy,,,,Ja,Nei,1848,STEIGEN,18,Nordland,67.897,15.15785,0.5,,,9,Vestfjorden og Vesterålen
33,2016,11241,Bergvikodden,,,,Ja,Nei,1866,HADSEL,18,Nordland,68.57475,14.850883,0.5,,,9,Vestfjorden og Vesterålen
33,2016,11930,Bjelkavik,,,,Ja,Nei,1134,SULDAL,11,Rogaland,59.45165,5.991917,0.5,,,2,Ryfylke
33,2016,12178,Bjønnspjotneset,0.03,1.74,2,Nei,Ja,1416,HØYANGER,14,Sogn og Fjordane,61.098083,5.82545,0.5,Nei,15.1,4,Nordhordaland til Stadt
33,2016,31738,Bjørga,,,,Ja,Nei,1925,SØRREISA,19,Troms,69.151436,17.9562,0.5,,,10,Andøya til Senja
33,2016,12625,Bjørgan,,,,Ja,Nei,1749,FLATANGER,17,Nord-Trøndelag,64.59268,10.908333,0.5,,,7,Nord-Trøndelag med Bindal
33,2016,31317,Bjørkvik,0.39,0.55,0.04,Nei,Ja,1850,TYSFJORD,18,Nordland,68.02925,16.131416,0.5,Nei,12.1,9,Vestfjorden og Vesterålen
33,2016,22455,Bjørlykkestranda,0.08,0.25,0.23,Nei,Ja,1511,VANYLVEN,15,Møre og Romsdal,62.16655,5.5954,0.5,Nei,14.96,5,Stadt til Hustadvika
33,2016,12308,Bjørndal,0.07,2.45,0.61,Nei,Ja,1520,ØRSTA,15,Møre og Romsdal,62.274883,6.00285,0.5,Nei,14.8,5,Stadt til Hustadvika
33,2016,23436,Bjørnholmen,0.07,0.13,0.05,Nei,Ja,1412,SOLUND,14,Sogn og Fjordane,61.20635,4.938083,0.5,Nei,14.7,4,Nordhordaland til Stadt
33,2016,25975,Bjørnskjæret,,,,Ja,Nei,1755,LEKA,17,Nord-Trøndelag,65.038506,11.459672,0.5,,,7,Nord-Trøndelag med Bindal
33,2016,11340,Bjørnstein,0.08,0.34,0.08,Nei,Ja,1917,IBESTAD,19,Troms,68.892365,17.110233,0.5,Nei,13.2,10,Andøya til Senja
33,2016,34997,Bjørnøya,0.1,0.8,0.1,Nei,Ja,1804,BODØ,18,Nordland,67.4164,14.428667,0.5,Nei,11.5,9,Vestfjorden og Vesterålen
33,2016,12156,Blom,,,,Ja,Nei,1253,OSTERØY,12,Hordaland,60.436584,5.564833,0.5,,,4,Nordhordaland til Stadt
33,2016,31857,Blomsøråsa,1.96,4.6,0.16,Nei,Ja,1820,ALSTAHAUG,18,Nordland,65.85637,12.311833,0.5,Ja,12.84,8,Helgeland til Bodø
