Uke,År,Lokalitetsnummer,Lokalitetsnavn,Tiltak,Type behandling,Virkestoff,ArtsId,Rensefisk,Antall,Omfang,Kommunenummer,Kommune,Fylkesnummer,Fylke,Lat,Lon,ProduksjonsområdeId,Produksjonsområde,Antall merder
33,2020,10298,Ålforo,ikke-medikamentell,,,,,,deler av lokaliteten,4615,FITJAR,46,Vestland,59.866417,5.2447,3,Karmøy til Sotra,
33,2020,13271,Almurden,ikke-medikamentell,,,,,,hele lokaliteten,5049,FLATANGER,50,Trøndelag,64.43353,10.678883,7,Nord-Trøndelag med Bindal,
33,2020,32017,Ånholmen,ikke-medikamentell,,,,,,deler av lokaliteten,5007,NAMSOS,50,Trøndelag,64.7198,11.461683,7,Nord-Trøndelag med Bindal,
33,2020,24695,Årnes,ikke-medikamentell,,,,,,deler av lokaliteten,5007,NAMSOS,50,Trøndelag,64.5961,11.273417,7,Nord-Trøndelag med Bindal,
33,2020,12988,Aukrasanden,medikamentell,fôrbehandling,Emamectin benzoat,,,,deler av lokaliteten,1547,AUKRA,15,Møre og Romsdal,62.783417,6.92605,5,Stadt til Hustadvika,
33,2020,12988,Aukrasanden,medikamentell,fôrbehandling,Emamectin benzoat,,,,deler av lokaliteten,1547,AUKRA,15,Møre og Romsdal,62.783417,6.92605,5,Stadt til Hustadvika,
33,2020,26795,Austvika,ikke-medikamentell,,,,,,deler av lokaliteten,5049,FLATANGER,50,Trøndelag,64.41853,10.696033,7,Nord-Trøndelag med Bindal,
33,2020,13341,Bakjestranda,medikamentell,fôrbehandling,Emamectin benzoat,,,,hele lokaliteten,4648,BREMANGER,46,Vestland,61.82025,4.940267,4,Nordhordaland til Stadt,
33,2020,13341,Bakjestranda,medikamentell,fôrbehandling,Emamectin benzoat,,,,hele lokaliteten,4648,BREMANGER,46,Vestland,61.82025,4.940267,4,Nordhordaland til Stadt,
33,2020,11749,Bårøy,ikke-medikamentell,,,,,,deler av lokaliteten,4635,GULEN,46,Vestland,60.945866,4.845383,4,Nordhordaland til Stadt,
33,2020,31877,Barøya,ikke-medikamentell,,,,,,deler av lokaliteten,5007,NAMSOS,50,Trøndelag,64.62112,11.235517,7,Nord-Trøndelag med Bindal,
33,2020,25055,Bekksneset,ikke-medikamentell,,,,,,deler av lokaliteten,4637,HYLLESTAD,46,Vestland,61.07675,5.386017,4,Nordhordaland til Stadt,
33,2020,13209,Bognøy,medikamentell,badebehandling,Azamethiphos,,,,deler av lokaliteten,4631,ALVER,46,Vestland,60.60407,5.076983,4,Nordhordaland til Stadt,
33,2020,13209,Bognøy,ikke-medikamentell,,,,,,deler av lokaliteten,4631,ALVER,46,Vestland,60.60407,5.076983,4,Nordhordaland til Stadt,
33,2020,11488,Brattavika,ikke-medikamentell,,,,,,deler av lokaliteten,4625,AUSTEVOLL,46,Vestland,60.044117,5.303317,3,Karmøy til Sotra,
33,2020,33537,Buholmen,ikke-medikamentell,,,,,,deler av lokaliteten,5058,ÅFJORD,50,Trøndelag,64.1569,10.008917,6,Nordmøre og Sør-Trøndelag,
