Municipality_code,Municipality_name,County_code
1505,Kristiansund,15
1506,Molde,15
1508,Ålesund,15
1511,Vanylven,15
1514,Sande,15
1515,Herøy (Møre og Romsdal),15
1516,Ulstein,15
1517,Hareid,15
1520,Ørsta,15
1525,Stranda,15
1528,Sykkylven,15
1531,Sula,15
1532,Giske,15
1535,Vestnes,15
1539,Rauma,15
1547,Aukra,15
1557,Gjemnes,15
1560,Tingvoll,15
1563,Sunndal,15
1566,Surnadal,15
1573,Smøla,15
1576,Aure,15
1578,Fjord,15
1579,Hustadvika,15
1580,Haram,15
5001,Trondheim - Tråante,50
5006,Steinkjer - Stïentje,50
5007,Namsos - Nåavmesjenjaelmie,50
5014,Frøya,50
5020,Osen,50
5021,Oppdal,50
5022,Rennebu,50
5025,Røros - Rosse,50
5026,Holtålen,50
5027,Midtre Gauldal,50
5028,Melhus,50
5029,Skaun,50
5031,Malvik,50
5032,Selbu,50
5033,Tydal,50
5034,Meråker,50
5035,Stjørdal,50
5036,Frosta,50
5037,Levanger - Levangke,50
5038,Verdal,50
5041,Snåase - Snåsa,50
5042,Lierne,50
5043,Raarvihke - Røyrvik,50
5044,Namsskogan,50
5045,Grong,50
5046,Høylandet,50
5047,Overhalla,50
5049,Flatanger,50
5052,Leka,50
5054,Indre Fosen,50
5055,Heim,50
5057,Ørland,50
5058,Åfjord,50
5061,Rindal,50
1554,Averøy,15
1577,Volda,15
5037,Levanger,50
5053,Inderøy,50
5056,Hitra,50
5059,Orkland,50
5060,Nærøysund,50
