Wage_Agreement,Function,Municipality,Municipality_code,Municipality_name,Year,Physician_man_years
"Wage agreements, total","241 Diagnosis, treatment and rehabilitation",3101 Halden,K-3101,Halden,2015,
"Wage agreements, total","241 Diagnosis, treatment and rehabilitation",3103 Moss,K-3103,Moss,2015,
"Wage agreements, total","241 Diagnosis, treatment and rehabilitation",3105 Sarpsborg,K-3105,Sarpsborg,2015,
"Wage agreements, total","241 Diagnosis, treatment and rehabilitation",3107 Fredrikstad,K-3107,Fredrikstad,2015,
"Wage agreements, total","241 Diagnosis, treatment and rehabilitation",3110 Hvaler,K-3110,Hvaler,2015,
"Wage agreements, total","241 Diagnosis, treatment and rehabilitation",3112 Råde,K-3112,Råde,2015,
"Wage agreements, total","241 Diagnosis, treatment and rehabilitation",3114 Våler (Østfold),K-3114,Våler (Østfold),2015,
"Wage agreements, total","241 Diagnosis, treatment and rehabilitation",3116 Skiptvet,K-3116,Skiptvet,2015,
"Wage agreements, total","241 Diagnosis, treatment and rehabilitation",3118 Indre Østfold,K-3118,Indre Østfold,2015,
"Wage agreements, total","241 Diagnosis, treatment and rehabilitation",3120 Rakkestad,K-3120,Rakkestad,2015,
"Wage agreements, total","241 Diagnosis, treatment and rehabilitation",3122 Marker,K-3122,Marker,2015,
"Wage agreements, total","241 Diagnosis, treatment and rehabilitation",3124 Aremark,K-3124,Aremark,2015,
"Wage agreements, total","241 Diagnosis, treatment and rehabilitation",3201 Bærum,K-3201,Bærum,2015,
"Wage agreements, total","241 Diagnosis, treatment and rehabilitation",3203 Asker,K-3203,Asker,2015,
"Wage agreements, total","241 Diagnosis, treatment and rehabilitation",3205 Lillestrøm,K-3205,Lillestrøm,2015,
"Wage agreements, total","241 Diagnosis, treatment and rehabilitation",3207 Nordre Follo,K-3207,Nordre Follo,2015,
"Wage agreements, total","241 Diagnosis, treatment and rehabilitation",3209 Ullensaker,K-3209,Ullensaker,2015,
"Wage agreements, total","241 Diagnosis, treatment and rehabilitation",3212 Nesodden,K-3212,Nesodden,2015,
"Wage agreements, total","241 Diagnosis, treatment and rehabilitation",3214 Frogn,K-3214,Frogn,2015,
"Wage agreements, total","241 Diagnosis, treatment and rehabilitation",3216 Vestby,K-3216,Vestby,2015,
"Wage agreements, total","241 Diagnosis, treatment and rehabilitation",3218 Ås,K-3218,Ås,2015,
"Wage agreements, total","241 Diagnosis, treatment and rehabilitation",3220 Enebakk,K-3220,Enebakk,2015,
"Wage agreements, total","241 Diagnosis, treatment and rehabilitation",3222 Lørenskog,K-3222,Lørenskog,2015,
"Wage agreements, total","241 Diagnosis, treatment and rehabilitation",3224 Rælingen,K-3224,Rælingen,2015,
"Wage agreements, total","241 Diagnosis, treatment and rehabilitation",3226 Aurskog-Høland,K-3226,Aurskog-Høland,2015,
"Wage agreements, total","241 Diagnosis, treatment and rehabilitation",3228 Nes,K-3228,Nes,2015,
"Wage agreements, total","241 Diagnosis, treatment and rehabilitation",3230 Gjerdrum,K-3230,Gjerdrum,2015,
"Wage agreements, total","241 Diagnosis, treatment and rehabilitation",3232 Nittedal,K-3232,Nittedal,2015,
"Wage agreements, total","241 Diagnosis, treatment and rehabilitation",3234 Lunner,K-3234,Lunner,2015,
"Wage agreements, total","241 Diagnosis, treatment and rehabilitation",3236 Jevnaker,K-3236,Jevnaker,2015,
"Wage agreements, total","241 Diagnosis, treatment and rehabilitation",3238 Nannestad,K-3238,Nannestad,2015,
"Wage agreements, total","241 Diagnosis, treatment and rehabilitation",3240 Eidsvoll,K-3240,Eidsvoll,2015,
"Wage agreements, total","241 Diagnosis, treatment and rehabilitation",3242 Hurdal,K-3242,Hurdal,2015,
"Wage agreements, total","241 Diagnosis, treatment and rehabilitation",0301 Oslo - Oslove,K-0301,Oslo - Oslove,2015,555.9
"Wage agreements, total","241 Diagnosis, treatment and rehabilitation",3401 Kongsvinger,K-3401,Kongsvinger,2015,
"Wage agreements, total","241 Diagnosis, treatment and rehabilitation",3403 Hamar,K-3403,Hamar,2015,
"Wage agreements, total","241 Diagnosis, treatment and rehabilitation",3405 Lillehammer,K-3405,Lillehammer,2015,
"Wage agreements, total","241 Diagnosis, treatment and rehabilitation",3407 Gjøvik,K-3407,Gjøvik,2015,
"Wage agreements, total","241 Diagnosis, treatment and rehabilitation",3411 Ringsaker,K-3411,Ringsaker,2015,
"Wage agreements, total","241 Diagnosis, treatment and rehabilitation",3412 Løten,K-3412,Løten,2015,
"Wage agreements, total","241 Diagnosis, treatment and rehabilitation",3413 Stange,K-3413,Stange,2015,
"Wage agreements, total","241 Diagnosis, treatment and rehabilitation",3414 Nord-Odal,K-3414,Nord-Odal,2015,
"Wage agreements, total","241 Diagnosis, treatment and rehabilitation",3415 Sør-Odal,K-3415,Sør-Odal,2015,
"Wage agreements, total","241 Diagnosis, treatment and rehabilitation",3416 Eidskog,K-3416,Eidskog,2015,
"Wage agreements, total","241 Diagnosis, treatment and rehabilitation",3417 Grue,K-3417,Grue,2015,
"Wage agreements, total","241 Diagnosis, treatment and rehabilitation",3418 Åsnes,K-3418,Åsnes,2015,
"Wage agreements, total","241 Diagnosis, treatment and rehabilitation",3419 Våler (Innlandet),K-3419,Våler (Innlandet),2015,
"Wage agreements, total","241 Diagnosis, treatment and rehabilitation",3420 Elverum,K-3420,Elverum,2015,
"Wage agreements, total","241 Diagnosis, treatment and rehabilitation",3421 Trysil,K-3421,Trysil,2015,
"Wage agreements, total","241 Diagnosis, treatment and rehabilitation",3422 Åmot,K-3422,Åmot,2015,
"Wage agreements, total","241 Diagnosis, treatment and rehabilitation",3423 Stor-Elvdal,K-3423,Stor-Elvdal,2015,
"Wage agreements, total","241 Diagnosis, treatment and rehabilitation",3424 Rendalen,K-3424,Rendalen,2015,
