County,Sex,Age,Age_num,County_code,County_name,Year,Population
F-15 Møre og Romsdal,F,0 years,0,F-15,Møre og Romsdal,2015,1319
F-15 Møre og Romsdal,F,1 year,1,F-15,Møre og Romsdal,2015,1409
F-15 Møre og Romsdal,F,2 years,2,F-15,Møre og Romsdal,2015,1476
F-15 Møre og Romsdal,F,3 years,3,F-15,Møre og Romsdal,2015,1520
F-15 Møre og Romsdal,F,4 years,4,F-15,Møre og Romsdal,2015,1524
F-15 Møre og Romsdal,F,5 years,5,F-15,Møre og Romsdal,2015,1622
F-15 Møre og Romsdal,F,6 years,6,F-15,Møre og Romsdal,2015,1543
F-15 Møre og Romsdal,F,7 years,7,F-15,Møre og Romsdal,2015,1566
F-15 Møre og Romsdal,F,8 years,8,F-15,Møre og Romsdal,2015,1554
F-15 Møre og Romsdal,F,9 years,9,F-15,Møre og Romsdal,2015,1578
F-15 Møre og Romsdal,F,10 years,10,F-15,Møre og Romsdal,2015,1613
F-15 Møre og Romsdal,F,11 years,11,F-15,Møre og Romsdal,2015,1570
F-15 Møre og Romsdal,F,12 years,12,F-15,Møre og Romsdal,2015,1574
F-15 Møre og Romsdal,F,13 years,13,F-15,Møre og Romsdal,2015,1639
F-15 Møre og Romsdal,F,14 years,14,F-15,Møre og Romsdal,2015,1618
F-15 Møre og Romsdal,F,15 years,15,F-15,Møre og Romsdal,2015,1702
F-15 Møre og Romsdal,F,16 years,16,F-15,Møre og Romsdal,2015,1613
F-15 Møre og Romsdal,F,17 years,17,F-15,Møre og Romsdal,2015,1714
F-15 Møre og Romsdal,F,18 years,18,F-15,Møre og Romsdal,2015,1745
F-15 Møre og Romsdal,F,19 years,19,F-15,Møre og Romsdal,2015,1603
F-15 Møre og Romsdal,F,20 years,20,F-15,Møre og Romsdal,2015,1602
F-15 Møre og Romsdal,F,21 years,21,F-15,Møre og Romsdal,2015,1605
F-15 Møre og Romsdal,F,22 years,22,F-15,Møre og Romsdal,2015,1570
F-15 Møre og Romsdal,F,23 years,23,F-15,Møre og Romsdal,2015,1621
F-15 Møre og Romsdal,F,24 years,24,F-15,Møre og Romsdal,2015,1626
F-15 Møre og Romsdal,F,25 years,25,F-15,Møre og Romsdal,2015,1563
F-15 Møre og Romsdal,F,26 years,26,F-15,Møre og Romsdal,2015,1499
F-15 Møre og Romsdal,F,27 years,27,F-15,Møre og Romsdal,2015,1474
F-15 Møre og Romsdal,F,28 years,28,F-15,Møre og Romsdal,2015,1476
F-15 Møre og Romsdal,F,29 years,29,F-15,Møre og Romsdal,2015,1499
F-15 Møre og Romsdal,F,30 years,30,F-15,Møre og Romsdal,2015,1512
F-15 Møre og Romsdal,F,31 years,31,F-15,Møre og Romsdal,2015,1524
F-15 Møre og Romsdal,F,32 years,32,F-15,Møre og Romsdal,2015,1497
F-15 Møre og Romsdal,F,33 years,33,F-15,Møre og Romsdal,2015,1486
F-15 Møre og Romsdal,F,34 years,34,F-15,Møre og Romsdal,2015,1510
