Municipality,Sex,Age,Age_num,Municipality_code,Municipality_name,Year,Population,County_code
K-1505 Kristiansund,F,0 years,0,1505,Kristiansund,2015,111,15
K-1505 Kristiansund,F,1 year,1,1505,Kristiansund,2015,112,15
K-1505 Kristiansund,F,2 years,2,1505,Kristiansund,2015,124,15
K-1505 Kristiansund,F,3 years,3,1505,Kristiansund,2015,137,15
K-1505 Kristiansund,F,4 years,4,1505,Kristiansund,2015,160,15
K-1505 Kristiansund,F,5 years,5,1505,Kristiansund,2015,166,15
K-1505 Kristiansund,F,6 years,6,1505,Kristiansund,2015,146,15
K-1505 Kristiansund,F,7 years,7,1505,Kristiansund,2015,145,15
K-1505 Kristiansund,F,8 years,8,1505,Kristiansund,2015,139,15
K-1505 Kristiansund,F,9 years,9,1505,Kristiansund,2015,141,15
K-1505 Kristiansund,F,10 years,10,1505,Kristiansund,2015,129,15
K-1505 Kristiansund,F,11 years,11,1505,Kristiansund,2015,121,15
K-1505 Kristiansund,F,12 years,12,1505,Kristiansund,2015,133,15
K-1505 Kristiansund,F,13 years,13,1505,Kristiansund,2015,132,15
K-1505 Kristiansund,F,14 years,14,1505,Kristiansund,2015,136,15
K-1505 Kristiansund,F,15 years,15,1505,Kristiansund,2015,158,15
K-1505 Kristiansund,F,16 years,16,1505,Kristiansund,2015,138,15
K-1505 Kristiansund,F,17 years,17,1505,Kristiansund,2015,147,15
K-1505 Kristiansund,F,18 years,18,1505,Kristiansund,2015,146,15
K-1505 Kristiansund,F,19 years,19,1505,Kristiansund,2015,147,15
K-1505 Kristiansund,F,20 years,20,1505,Kristiansund,2015,141,15
K-1505 Kristiansund,F,21 years,21,1505,Kristiansund,2015,155,15
K-1505 Kristiansund,F,22 years,22,1505,Kristiansund,2015,153,15
K-1505 Kristiansund,F,23 years,23,1505,Kristiansund,2015,148,15
K-1505 Kristiansund,F,24 years,24,1505,Kristiansund,2015,171,15
K-1505 Kristiansund,F,25 years,25,1505,Kristiansund,2015,148,15
K-1505 Kristiansund,F,26 years,26,1505,Kristiansund,2015,149,15
K-1505 Kristiansund,F,27 years,27,1505,Kristiansund,2015,170,15
K-1505 Kristiansund,F,28 years,28,1505,Kristiansund,2015,153,15
K-1505 Kristiansund,F,29 years,29,1505,Kristiansund,2015,145,15
K-1505 Kristiansund,F,30 years,30,1505,Kristiansund,2015,152,15
K-1505 Kristiansund,F,31 years,31,1505,Kristiansund,2015,151,15
K-1505 Kristiansund,F,32 years,32,1505,Kristiansund,2015,133,15
K-1505 Kristiansund,F,33 years,33,1505,Kristiansund,2015,132,15
K-1505 Kristiansund,F,34 years,34,1505,Kristiansund,2015,141,15
K-1505 Kristiansund,F,35 years,35,1505,Kristiansund,2015,148,15
K-1505 Kristiansund,F,36 years,36,1505,Kristiansund,2015,138,15
K-1505 Kristiansund,F,37 years,37,1505,Kristiansund,2015,142,15
K-1505 Kristiansund,F,38 years,38,1505,Kristiansund,2015,136,15
K-1505 Kristiansund,F,39 years,39,1505,Kristiansund,2015,138,15
K-1505 Kristiansund,F,40 years,40,1505,Kristiansund,2015,157,15
