measure,region,offencegroup,year,value,measurecode
Offences reported,Total,Allgroupsofoffences,2016,336413.0,offence_count
Offences reported,Total,Allgroupsofoffences,2017,318617.0,offence_count
Offences reported,Total,Allgroupsofoffences,2018,317927.0,offence_count
Offences reported,Total,Allgroupsofoffences,2019,310120.0,offence_count
Offences reported,Total,Allgroupsofoffences,2020,300636.0,offence_count
Offences reported,Total,Allgroupsofoffences,2021,278833.0,offence_count
Offences reported,Total,Allgroupsofoffences,2022,304621.0,offence_count
Offences reported,Total,Allgroupsofoffences,2023,327997.0,offence_count
Offences reported,Total,Allgroupsofoffences,2024,341509.0,offence_count
Offences reported,Total,Allgroupsofoffences,2025,348508.0,offence_count
Offences reported,Total,Criminaldamage,2016,17293.0,offence_count
Offences reported,Total,Criminaldamage,2017,17474.0,offence_count
Offences reported,Total,Criminaldamage,2018,17270.0,offence_count
Offences reported,Total,Criminaldamage,2019,17651.0,offence_count
Offences reported,Total,Criminaldamage,2020,21367.0,offence_count
Offences reported,Total,Criminaldamage,2021,19881.0,offence_count
Offences reported,Total,Criminaldamage,2022,19716.0,offence_count
Offences reported,Total,Criminaldamage,2023,22732.0,offence_count
Offences reported,Total,Criminaldamage,2024,21926.0,offence_count
Offences reported,Total,Criminaldamage,2025,24077.0,offence_count
Offences reported,Total,Drugandalcoholoffences,2016,50293.0,offence_count
Offences reported,Total,Drugandalcoholoffences,2017,46930.0,offence_count
Offences reported,Total,Drugandalcoholoffences,2018,45699.0,offence_count
Offences reported,Total,Drugandalcoholoffences,2019,41873.0,offence_count
Offences reported,Total,Drugandalcoholoffences,2020,39602.0,offence_count
Offences reported,Total,Drugandalcoholoffences,2021,30241.0,offence_count
Offences reported,Total,Drugandalcoholoffences,2022,29218.0,offence_count
Offences reported,Total,Drugandalcoholoffences,2023,29788.0,offence_count
Offences reported,Total,Drugandalcoholoffences,2024,30628.0,offence_count
Offences reported,Total,Drugandalcoholoffences,2025,28584.0,offence_count
Offences reported,Total,Otheroffences,2016,4893.0,offence_count
Offences reported,Total,Otheroffences,2017,4689.0,offence_count
Offences reported,Total,Otheroffences,2018,4445.0,offence_count
Offences reported,Total,Otheroffences,2019,4512.0,offence_count
Offences reported,Total,Otheroffences,2020,5629.0,offence_count
Offences reported,Total,Otheroffences,2021,8233.0,offence_count
Offences reported,Total,Otheroffences,2022,5371.0,offence_count
Offences reported,Total,Otheroffences,2023,5141.0,offence_count
Offences reported,Total,Otheroffences,2024,4962.0,offence_count
Offences reported,Total,Otheroffences,2025,4985.0,offence_count
Offences reported,Total,Otheroffencesforprofit,2016,31064.0,offence_count
Offences reported,Total,Otheroffencesforprofit,2017,28907.0,offence_count
Offences reported,Total,Otheroffencesforprofit,2018,30540.0,offence_count
Offences reported,Total,Otheroffencesforprofit,2019,28869.0,offence_count
Offences reported,Total,Otheroffencesforprofit,2020,26055.0,offence_count
Offences reported,Total,Otheroffencesforprofit,2021,25066.0,offence_count
Offences reported,Total,Otheroffencesforprofit,2022,28971.0,offence_count
Offences reported,Total,Otheroffencesforprofit,2023,32843.0,offence_count
Offences reported,Total,Otheroffencesforprofit,2024,36775.0,offence_count
Offences reported,Total,Otheroffencesforprofit,2025,39177.0,offence_count
Offences reported,Total,Propertytheft,2016,105144.0,offence_count
Offences reported,Total,Propertytheft,2017,94887.0,offence_count
Offences reported,Total,Propertytheft,2018,92866.0,offence_count
Offences reported,Total,Propertytheft,2019,94966.0,offence_count
Offences reported,Total,Propertytheft,2020,86949.0,offence_count
Offences reported,Total,Propertytheft,2021,79515.0,offence_count
Offences reported,Total,Propertytheft,2022,99729.0,offence_count
Offences reported,Total,Propertytheft,2023,111584.0,offence_count
Offences reported,Total,Propertytheft,2024,116986.0,offence_count
Offences reported,Total,Propertytheft,2025,116387.0,offence_count
Offences reported,Total,Publicorderandintegrityviolations,2016,36646.0,offence_count
Offences reported,Total,Publicorderandintegrityviolations,2017,35308.0,offence_count
Offences reported,Total,Publicorderandintegrityviolations,2018,36307.0,offence_count
Offences reported,Total,Publicorderandintegrityviolations,2019,34304.0,offence_count
Offences reported,Total,Publicorderandintegrityviolations,2020,31490.0,offence_count
Offences reported,Total,Publicorderandintegrityviolations,2021,28906.0,offence_count
Offences reported,Total,Publicorderandintegrityviolations,2022,30903.0,offence_count
Offences reported,Total,Publicorderandintegrityviolations,2023,31456.0,offence_count
Offences reported,Total,Publicorderandintegrityviolations,2024,33600.0,offence_count
Offences reported,Total,Publicorderandintegrityviolations,2025,35230.0,offence_count
Offences reported,Total,Sexualoffences,2016,7079.0,offence_count
Offences reported,Total,Sexualoffences,2017,7986.0,offence_count
Offences reported,Total,Sexualoffences,2018,8386.0,offence_count
Offences reported,Total,Sexualoffences,2019,6744.0,offence_count
Offences reported,Total,Sexualoffences,2020,6873.0,offence_count
Offences reported,Total,Sexualoffences,2021,7989.0,offence_count
Offences reported,Total,Sexualoffences,2022,7396.0,offence_count
Offences reported,Total,Sexualoffences,2023,7484.0,offence_count
Offences reported,Total,Sexualoffences,2024,7221.0,offence_count
Offences reported,Total,Sexualoffences,2025,7112.0,offence_count
Offences reported,Total,Trafficoffences,2016,49032.0,offence_count
Offences reported,Total,Trafficoffences,2017,45749.0,offence_count
Offences reported,Total,Trafficoffences,2018,44953.0,offence_count
Offences reported,Total,Trafficoffences,2019,43188.0,offence_count
Offences reported,Total,Trafficoffences,2020,45608.0,offence_count
Offences reported,Total,Trafficoffences,2021,43014.0,offence_count
Offences reported,Total,Trafficoffences,2022,43852.0,offence_count
Offences reported,Total,Trafficoffences,2023,43975.0,offence_count
Offences reported,Total,Trafficoffences,2024,43973.0,offence_count
Offences reported,Total,Trafficoffences,2025,45590.0,offence_count
Offences reported,Total,Violenceandmaltreatment,2016,34969.0,offence_count
Offences reported,Total,Violenceandmaltreatment,2017,36687.0,offence_count
Offences reported,Total,Violenceandmaltreatment,2018,37461.0,offence_count
Offences reported,Total,Violenceandmaltreatment,2019,38013.0,offence_count
Offences reported,Total,Violenceandmaltreatment,2020,37063.0,offence_count
Offences reported,Total,Violenceandmaltreatment,2021,35988.0,offence_count
Offences reported,Total,Violenceandmaltreatment,2022,39465.0,offence_count
Offences reported,Total,Violenceandmaltreatment,2023,42994.0,offence_count
Offences reported,Total,Violenceandmaltreatment,2024,45438.0,offence_count
Offences reported,Total,Violenceandmaltreatment,2025,47366.0,offence_count
Offences reported,Trøndelag,Allgroupsofoffences,2016,24295.0,offence_count
Offences reported,Trøndelag,Allgroupsofoffences,2017,24597.0,offence_count
Offences reported,Trøndelag,Allgroupsofoffences,2018,23582.0,offence_count
Offences reported,Trøndelag,Allgroupsofoffences,2019,23181.0,offence_count
Offences reported,Trøndelag,Allgroupsofoffences,2020,23397.0,offence_count
Offences reported,Trøndelag,Allgroupsofoffences,2021,23221.0,offence_count
Offences reported,Trøndelag,Allgroupsofoffences,2022,24690.0,offence_count
Offences reported,Trøndelag,Allgroupsofoffences,2023,25764.0,offence_count
Offences reported,Trøndelag,Allgroupsofoffences,2024,28204.0,offence_count
Offences reported,Trøndelag,Allgroupsofoffences,2025,27709.0,offence_count
Offences reported,Trøndelag,Criminaldamage,2016,1477.0,offence_count
Offences reported,Trøndelag,Criminaldamage,2017,1530.0,offence_count
Offences reported,Trøndelag,Criminaldamage,2018,1347.0,offence_count
Offences reported,Trøndelag,Criminaldamage,2019,1592.0,offence_count
Offences reported,Trøndelag,Criminaldamage,2020,2055.0,offence_count
Offences reported,Trøndelag,Criminaldamage,2021,2023.0,offence_count
Offences reported,Trøndelag,Criminaldamage,2022,1960.0,offence_count
Offences reported,Trøndelag,Criminaldamage,2023,2252.0,offence_count
Offences reported,Trøndelag,Criminaldamage,2024,2236.0,offence_count
Offences reported,Trøndelag,Criminaldamage,2025,2323.0,offence_count
Offences reported,Trøndelag,Drugandalcoholoffences,2016,3260.0,offence_count
Offences reported,Trøndelag,Drugandalcoholoffences,2017,3638.0,offence_count
Offences reported,Trøndelag,Drugandalcoholoffences,2018,3520.0,offence_count
Offences reported,Trøndelag,Drugandalcoholoffences,2019,3297.0,offence_count
Offences reported,Trøndelag,Drugandalcoholoffences,2020,3216.0,offence_count
Offences reported,Trøndelag,Drugandalcoholoffences,2021,2496.0,offence_count
Offences reported,Trøndelag,Drugandalcoholoffences,2022,2193.0,offence_count
Offences reported,Trøndelag,Drugandalcoholoffences,2023,2216.0,offence_count
Offences reported,Trøndelag,Drugandalcoholoffences,2024,2397.0,offence_count
Offences reported,Trøndelag,Drugandalcoholoffences,2025,2169.0,offence_count
Offences reported,Trøndelag,Otheroffences,2016,378.0,offence_count
Offences reported,Trøndelag,Otheroffences,2017,401.0,offence_count
Offences reported,Trøndelag,Otheroffences,2018,357.0,offence_count
Offences reported,Trøndelag,Otheroffences,2019,372.0,offence_count
Offences reported,Trøndelag,Otheroffences,2020,446.0,offence_count
Offences reported,Trøndelag,Otheroffences,2021,539.0,offence_count
Offences reported,Trøndelag,Otheroffences,2022,387.0,offence_count
Offences reported,Trøndelag,Otheroffences,2023,421.0,offence_count
Offences reported,Trøndelag,Otheroffences,2024,462.0,offence_count
Offences reported,Trøndelag,Otheroffences,2025,389.0,offence_count
Offences reported,Trøndelag,Otheroffencesforprofit,2016,2668.0,offence_count
Offences reported,Trøndelag,Otheroffencesforprofit,2017,2594.0,offence_count
Offences reported,Trøndelag,Otheroffencesforprofit,2018,2748.0,offence_count
Offences reported,Trøndelag,Otheroffencesforprofit,2019,2252.0,offence_count
Offences reported,Trøndelag,Otheroffencesforprofit,2020,1768.0,offence_count
Offences reported,Trøndelag,Otheroffencesforprofit,2021,2155.0,offence_count
Offences reported,Trøndelag,Otheroffencesforprofit,2022,2282.0,offence_count
Offences reported,Trøndelag,Otheroffencesforprofit,2023,2515.0,offence_count
Offences reported,Trøndelag,Otheroffencesforprofit,2024,3004.0,offence_count
Offences reported,Trøndelag,Otheroffencesforprofit,2025,3117.0,offence_count
Offences reported,Trøndelag,Propertytheft,2016,7235.0,offence_count
Offences reported,Trøndelag,Propertytheft,2017,7099.0,offence_count
Offences reported,Trøndelag,Propertytheft,2018,6431.0,offence_count
Offences reported,Trøndelag,Propertytheft,2019,6526.0,offence_count
Offences reported,Trøndelag,Propertytheft,2020,6420.0,offence_count
Offences reported,Trøndelag,Propertytheft,2021,6595.0,offence_count
Offences reported,Trøndelag,Propertytheft,2022,7951.0,offence_count
Offences reported,Trøndelag,Propertytheft,2023,8601.0,offence_count
Offences reported,Trøndelag,Propertytheft,2024,9488.0,offence_count
Offences reported,Trøndelag,Propertytheft,2025,9693.0,offence_count
Offences reported,Trøndelag,Publicorderandintegrityviolations,2016,2246.0,offence_count
Offences reported,Trøndelag,Publicorderandintegrityviolations,2017,2332.0,offence_count
Offences reported,Trøndelag,Publicorderandintegrityviolations,2018,2176.0,offence_count
Offences reported,Trøndelag,Publicorderandintegrityviolations,2019,2183.0,offence_count
Offences reported,Trøndelag,Publicorderandintegrityviolations,2020,1937.0,offence_count
Offences reported,Trøndelag,Publicorderandintegrityviolations,2021,1893.0,offence_count
Offences reported,Trøndelag,Publicorderandintegrityviolations,2022,2199.0,offence_count
Offences reported,Trøndelag,Publicorderandintegrityviolations,2023,2174.0,offence_count
Offences reported,Trøndelag,Publicorderandintegrityviolations,2024,2786.0,offence_count
Offences reported,Trøndelag,Publicorderandintegrityviolations,2025,2600.0,offence_count
Offences reported,Trøndelag,Sexualoffences,2016,633.0,offence_count
Offences reported,Trøndelag,Sexualoffences,2017,566.0,offence_count
Offences reported,Trøndelag,Sexualoffences,2018,574.0,offence_count
Offences reported,Trøndelag,Sexualoffences,2019,646.0,offence_count
Offences reported,Trøndelag,Sexualoffences,2020,694.0,offence_count
Offences reported,Trøndelag,Sexualoffences,2021,859.0,offence_count
Offences reported,Trøndelag,Sexualoffences,2022,876.0,offence_count
Offences reported,Trøndelag,Sexualoffences,2023,898.0,offence_count
Offences reported,Trøndelag,Sexualoffences,2024,737.0,offence_count
Offences reported,Trøndelag,Sexualoffences,2025,739.0,offence_count
Offences reported,Trøndelag,Trafficoffences,2016,4113.0,offence_count
Offences reported,Trøndelag,Trafficoffences,2017,3849.0,offence_count
Offences reported,Trøndelag,Trafficoffences,2018,3962.0,offence_count
Offences reported,Trøndelag,Trafficoffences,2019,3710.0,offence_count
Offences reported,Trøndelag,Trafficoffences,2020,4177.0,offence_count
Offences reported,Trøndelag,Trafficoffences,2021,3861.0,offence_count
Offences reported,Trøndelag,Trafficoffences,2022,3856.0,offence_count
Offences reported,Trøndelag,Trafficoffences,2023,3674.0,offence_count
Offences reported,Trøndelag,Trafficoffences,2024,3604.0,offence_count
Offences reported,Trøndelag,Trafficoffences,2025,3136.0,offence_count
Offences reported,Trøndelag,Violenceandmaltreatment,2016,2285.0,offence_count
Offences reported,Trøndelag,Violenceandmaltreatment,2017,2588.0,offence_count
Offences reported,Trøndelag,Violenceandmaltreatment,2018,2467.0,offence_count
Offences reported,Trøndelag,Violenceandmaltreatment,2019,2603.0,offence_count
Offences reported,Trøndelag,Violenceandmaltreatment,2020,2684.0,offence_count
Offences reported,Trøndelag,Violenceandmaltreatment,2021,2800.0,offence_count
Offences reported,Trøndelag,Violenceandmaltreatment,2022,2986.0,offence_count
Offences reported,Trøndelag,Violenceandmaltreatment,2023,3013.0,offence_count
Offences reported,Trøndelag,Violenceandmaltreatment,2024,3490.0,offence_count
Offences reported,Trøndelag,Violenceandmaltreatment,2025,3543.0,offence_count
Offences reported per 1000 population,Total,Allgroupsofoffences,2016,64.5,rate_per_1000
Offences reported per 1000 population,Total,Allgroupsofoffences,2017,60.6,rate_per_1000
Offences reported per 1000 population,Total,Allgroupsofoffences,2018,60.0,rate_per_1000
Offences reported per 1000 population,Total,Allgroupsofoffences,2019,58.2,rate_per_1000
Offences reported per 1000 population,Total,Allgroupsofoffences,2020,56.0,rate_per_1000
Offences reported per 1000 population,Total,Allgroupsofoffences,2021,51.7,rate_per_1000
Offences reported per 1000 population,Total,Allgroupsofoffences,2022,56.1,rate_per_1000
Offences reported per 1000 population,Total,Allgroupsofoffences,2023,59.8,rate_per_1000
Offences reported per 1000 population,Total,Allgroupsofoffences,2024,61.5,rate_per_1000
Offences reported per 1000 population,Total,Allgroupsofoffences,2025,62.3,rate_per_1000
Offences reported per 1000 population,Total,Criminaldamage,2016,3.3,rate_per_1000
Offences reported per 1000 population,Total,Criminaldamage,2017,3.3,rate_per_1000
Offences reported per 1000 population,Total,Criminaldamage,2018,3.3,rate_per_1000
Offences reported per 1000 population,Total,Criminaldamage,2019,3.3,rate_per_1000
Offences reported per 1000 population,Total,Criminaldamage,2020,4.0,rate_per_1000
Offences reported per 1000 population,Total,Criminaldamage,2021,3.7,rate_per_1000
Offences reported per 1000 population,Total,Criminaldamage,2022,3.6,rate_per_1000
