"title_clean","title","n_records","databases","years"
"2d virtual realitybased exercise improves spatial navigation in institutionalized nonrobust older persons a preliminary data report of a singleblind randomized and controlled study","2D Virtual Reality-Based Exercise Improves Spatial Navigation in Institutionalized Non-robust Older Persons: A Preliminary Data Report of a Single-Blind, Randomized, and Controlled Study.",2,"Embase+PubMed","2020"
"a brief essay on nonpharmacological treatment of alzheimers disease","A brief essay on non-pharmacological treatment of Alzheimer's disease.",2,"Embase+PubMed","2017"
"a clinicopathological and etiological study of binswangers disease","A clinico-pathological and etiological study of Binswanger's Disease].",2,"Embase+PubMed","1999"
"a cognitive function test utilizing eye tracking technology in virtual reality","A cognitive function test utilizing eye tracking technology in virtual reality].",2,"Embase+PubMed","2023"
"a comparison of traditional and serious gamebased digital markers of cognition in older adults with mild cognitive impairment and healthy controls","A Comparison of Traditional and Serious Game-Based Digital Markers of Cognition in Older Adults with Mild Cognitive Impairment and Healthy Controls.",2,"Embase+PubMed","2021"
"a crossover study of virtual reality exposure for emotional and physiological regulation in mild dementia","A Crossover Study of Virtual Reality Exposure for Emotional and Physiological Regulation in Mild Dementia.",2,"Embase+PubMed","2025"
"a dementiafriendly educational program using virtual reality for the general public in japan a randomized controlled trial for drive","A Dementia-Friendly Educational Program Using Virtual Reality for the General Public in Japan: A Randomized Controlled Trial for DRIVE.",2,"Embase+PubMed","2024"
"a feasibility study on the efficacy of a vrbased mindfulness intervention for dementia caregivers in the home environment a pilot randomized control trial protocol","A feasibility study on the efficacy of a VR-based mindfulness intervention for dementia caregivers in the home environment: A pilot randomized control trial protocol.",2,"Embase+PubMed","2026"
"a feasibility study with imagebased rendered virtual reality in patients with mild cognitive impairment and dementia","A Feasibility Study with Image-Based Rendered Virtual Reality in Patients with Mild Cognitive Impairment and Dementia.",2,"Embase+PubMed","2016"
"a fullyimmersive and automated virtual reality system to assess the six domains of cognition protocol for a feasibility study","A Fully-Immersive and Automated Virtual Reality System to Assess the Six Domains of Cognition: Protocol for a Feasibility Study.",2,"Embase+PubMed","2020"
"a literature overview of virtual reality vr in treatment of psychiatric disorders recent advances and limitations","A Literature Overview of Virtual Reality (VR) in Treatment of Psychiatric Disorders: Recent Advances and Limitations.",2,"Embase+PubMed","2019"
"a machinelearningbased assessment method for earlystage neurocognitive impairment by an immersive virtual supermarket","A Machine-Learning-Based Assessment Method for Early-Stage Neurocognitive Impairment by an Immersive Virtual Supermarket.",2,"Embase+PubMed","2021"
"a minireview of virtual realitybased interventions to promote wellbeing for people living with dementia and mild cognitive impairment","A Mini-Review of Virtual Reality-Based Interventions to Promote Well-Being for People Living with Dementia and Mild Cognitive Impairment.",2,"Embase+PubMed","2019"
"a multicomponent dementia education and support program for family caregivers a randomized controlled trial","A multicomponent dementia education and support program for family caregivers: A randomized controlled trial.",2,"Embase+PubMed","2026"
"a multisite randomized clinical trial of socially assistive robots on engaging older adults with cognitive impairment residing in longterm care settings a protocol paper","A multi-site randomized clinical trial of socially assistive robots on engaging older adults with cognitive impairment residing in long-term care settings: A protocol paper.",2,"Embase+PubMed","2025"
"a novel method for objective quantification of apathy based on gaze and physiological reactivity to stimuli presented in a virtual reality environment","A novel method for objective quantification of apathy based on gaze and physiological reactivity to stimuli presented in a virtual reality environment.",2,"Embase+PubMed","2025"
"a novel virtual reality assessment of functional cognition validation study","A Novel Virtual Reality Assessment of Functional Cognition: Validation Study.",2,"Embase+PubMed","2022"
