label,screening_id,database,title,abstract,author,year,journal,publication_type,doi_clean,pmid_clean,psychosocial_priority,screening_decision,exclusion_reason,screening_notes,screened_abstracts,note,notes,suggested_decision,suggested_reason_code,screening_confidence,screening_rationale,screening_rule_flags,manual_review_required,screening_method,possible_report_family,citation_mining_candidate
"VRD0419|""ZOOM effect"". The TV sign in patients with dementia: Is there an increased incidence during pandemia due to a rise in isolation and virtuality?].",VRD0419,PubMed,"""ZOOM effect"". The TV sign in patients with dementia: Is there an increased incidence during pandemia due to a rise in isolation and virtuality?].","Delusional misidentification syndromes are misperceptions of external stimuli with an associated belief or elaboration that is held with delusional intensity. In the TV sign patient believes that the observed television events are occurring in a real three-dimensional space. It is one of the very rare forms of delusional misidentification syndrome in patients withdementia.Wereport7patientswithcognitiveimpairmentcaseswhohavepresentedTVsignduringtheCOVID-19 pandemic. Two patients had Alzheimer's dementia type diagnosis, 1 atypical Alzheimer dementia, 1 vascular dementia and 3 of them had mixed etiology (2 Alzheimer dementia + vascular and 1 dementia with Lewy bodies + vascular). Three presented other psychotic symptoms and 1 patient also had Capgras syndrome. These 7 cases series raise the possibility of an increase incidence of TV sign in patients with dementia during pandemia triggered by the rise in expo- sure to screen devices and a social isolation during this period.",Dorman G; Vallejos F; Flores I; Appiani F; Bustin J; O'Neill S,NA,"Vertex (Buenos Aires, Argentina)",Journal Article,NA,35438688,TRUE,NA,NA,NA,NA,,,excluded,wrong_intervention,medium,No VR-based intervention identified in title or abstract,dementia_population; psychosocial_component; assessment_language; title_dementia_population; patient_participant_phrase,no,rule_based_triage,,no
"VRD1037|'I remember when. . .'-environmental, event-based and personally relevant objects that support reminiscence in virtual reality and other digital settings",VRD1037,Embase,"'I remember when. . .'-environmental, event-based and personally relevant objects that support reminiscence in virtual reality and other digital settings",NA,NA,2023,Age Ageing,NA,10.1093/ageing/afad156.078,NA,TRUE,NA,NA,NA,NA,,,uncertain,insufficient_information,low,"Curated title/abstract review: potentially relevant, but population, intervention content, or study design requires full-text verification",vr_technology; psychosocial_component; missing_abstract; title_vr_technology; title_psychosocial_component,yes,curated_title_abstract_review,,no
VRD0819|107. ARTIFICIAL INTELLIGENCE AND ITS APPLICATION FOR LONELINESS AND ISOLATION AMONG OLDER ADULTS,VRD0819,Embase,107. ARTIFICIAL INTELLIGENCE AND ITS APPLICATION FOR LONELINESS AND ISOLATION AMONG OLDER ADULTS,NA,NA,2025,Am. J. Geriatr. Psychiatry,NA,10.1016/j.jagp.2025.04.109,NA,TRUE,NA,NA,NA,NA,,,excluded,wrong_population,medium,No dementia term in title and no abstract available,psychosocial_component; missing_abstract; title_psychosocial_component,no,rule_based_triage,,no
VRD0284|A Crossover Study of Virtual Reality Exposure for Emotional and Physiological Regulation in Mild Dementia.,VRD0284,PubMed,A Crossover Study of Virtual Reality Exposure for Emotional and Physiological Regulation in Mild Dementia.,"1) Background: Immersive virtual reality (IVR) has emerged as a promising non-pharmacological intervention to promote relaxation and improve emotional well-being in this population. (2) Methods: This crossover study evaluated the effects of IVR on anxiety and psychological well-being in a sample of eight participants with mild dementia attending a day-care center. Participants underwent two conditions: an experimental condition involving relaxing nature-based VR scenarios (Nature Treks VR) and a control condition using personalized YouTube videos on a tablet. Each condition lasted 12 sessions. Assessments included heart rate (HR), the I-PANAS-SF, the reduced State-Trait Anxiety Inventory (STAI-r), behavioral observations, and a subjective response questionnaire. (3) Results: A significant reduction in HR over time was found during IVR exposure, suggesting a calming physiological effect not observed in the control condition. While changes in PANAS and STAI-r scores were not statistically significant, the PANAS score improvement in the experimental condition approached statistical significance (p = 0.054) and was just below the minimal clinically important difference (MCID), suggesting a potentially meaningful trend. Behavioral responses were higher during YouTube sessions, likely due to personalized content. All participants rated the IVR experience positively on the subjective questionnaire, indicating high acceptability, though social desirability bias cannot be excluded. (4) Conclusions: IVR appears to be a feasible and acceptable intervention for individuals with dementia, warranting further investigation.",Latorre P; Ferreira CP; Nieto-Escamez F,2025,Brain sciences,Journal Article,10.3390/brainsci15050470,40426641,TRUE,NA,NA,NA,NA,,,selected,potentially_eligible,high,"Curated title/abstract review: likely dementia VR psychosocial, social, emotional, reminiscence, or implementation study; proceed to full text",dementia_population; vr_technology; psychosocial_component; intervention_language; title_dementia_population; title_vr_technology; title_psychosocial_component,yes,curated_title_abstract_review,,no
VRD0168|A Dementia-Friendly Educational Program Using Virtual Reality for the General Public in Japan: A Randomized Controlled Trial for DRIVE.,VRD0168,PubMed,A Dementia-Friendly Educational Program Using Virtual Reality for the General Public in Japan: A Randomized Controlled Trial for DRIVE.,"BACKGROUND AND OBJECTIVES: Raising dementia awareness is essential for building a dementia-friendly community. However, existing studies have underexplored the effects of virtual reality (VR) dementia educational programs for the general public on enhancing positive attitude toward dementia. This study aimed to examine the effectiveness of a VR dementia-friendly educational program called the Drive for Dementia Readiness Inside Virtual Reality (DRIVE) program to improve attitude toward dementia of the general public. RESEARCH DESIGN AND METHODS: A two-arm randomized controlled trial was conducted. Eligibility criteria for participants included being 16 years and older in Japan and having no professional license in healthcare and social care. We randomized individuals to attend a multielement VR dementia-friendly educational program (intervention), including simulation, VR films, short films, lectures, and discussions or a lecture-based program (control). Data were collected 3 times, including at baseline, postintervention, and 3-month follow-up. The primary outcome was attitude toward dementia. The secondary outcomes were intention of helping behavior for people living with dementia and knowledge of dementia. RESULTS: We recruited 157 community residents, among whom 130 were included in the analysis. Although the mean changes in attitude score were not significantly different between the groups (Hedge's g = 0.26), the intention of helping behavior score was significantly higher in the intervention group (g = 0.49). DISCUSSION AND IMPLICATION: The DRIVE, a VR-based multielement dementia-friendly educational intervention, was shown as a promising tool for significantly affecting the intention of helping behavior for people living with dementia to establish dementia-friendly communities. CLINICAL TRIALS REGISTRATION NUMBER: UMIN000044901.",Suzuki H; Igarashi A; Matsumoto H; Kugai H; Takaoka M; Sakka M; Ito K; Hagiwara Y; Yamamoto-Mitani N,2024,The Gerontologist,"Journal Article; Randomized Controlled Trial; Research Support, Non-U.S. Gov't",10.1093/geront/gnae113,39140623,TRUE,NA,NA,NA,NA,,,excluded,wrong_population,medium,"VR intervention targets caregivers, staff, students, or the public rather than people with dementia",dementia_population; vr_technology; psychosocial_component; intervention_language; non_patient_target; title_dementia_population; title_vr_technology; patient_participant_phrase,no,curated_title_abstract_review,,no
VRD0332|A Feasibility Study with Image-Based Rendered Virtual Reality in Patients with Mild Cognitive Impairment and Dementia.,VRD0332,PubMed,A Feasibility Study with Image-Based Rendered Virtual Reality in Patients with Mild Cognitive Impairment and Dementia.,"Virtual Reality (VR) has emerged as a promising tool in many domains of therapy and rehabilitation, and has recently attracted the attention of researchers and clinicians working with elderly people with MCI, Alzheimer's disease and related disorders. Here we present a study testing the feasibility of using highly realistic image-based rendered VR with patients with MCI and dementia. We designed an attentional task to train selective and sustained attention, and we tested a VR and a paper version of this task in a single-session within-subjects design. Results showed that participants with MCI and dementia reported to be highly satisfied and interested in the task, and they reported high feelings of security, low discomfort, anxiety and fatigue. In addition, participants reported a preference for the VR condition compared to the paper condition, even if the task was more difficult. Interestingly, apathetic participants showed a preference for the VR condition stronger than that of non-apathetic participants. These findings suggest that VR-based training can be considered as an interesting tool to improve adherence to cognitive training in elderly people with cognitive impairment.",Manera V; Chapoulie E; Bourgeois J; Guerchouche R; David R; Ondrej J; Drettakis G; Robert P,2016,PloS one,"Journal Article; Research Support, Non-U.S. Gov't",10.1371/journal.pone.0151487,26990298,TRUE,NA,NA,NA,NA,,,excluded,wrong_intervention,medium,No explicit psychosocial or interpersonal VR intervention identified,dementia_population; vr_technology; psychosocial_component; intervention_language; physical_or_cognitive_training; mci_language; title_dementia_population; title_vr_technology; title_psychosocial_component,no,curated_title_abstract_review,,no
VRD0528|A Fully-Immersive and Automated Virtual Reality System to Assess the Six Domains of Cognition: Protocol for a Feasibility Study.,VRD0528,PubMed,A Fully-Immersive and Automated Virtual Reality System to Assess the Six Domains of Cognition: Protocol for a Feasibility Study.,"Introduction: Dementia is increasing in prevalence in aging populations. Current questionnaire-based cognitive assessments may not comprehensively assess cognitive function and real-time task-performance. Virtual reality (VR) technology has been used in cognitive assessments but existing systems have limited scope in evaluating all cognitive domains. We have developed a novel, fully-immersive VR system (CAVIRE: Cognitive Assessment by VIrtual REality), which incorporates automated audio-visual instructions. An automated scoring matrix to assess the six cognitive domains-perceptual-motor function, executive function, complex attention, social cognition, learning and memory, and language-is embedded in the CAVIRE system. Aims: The primary aim is to evaluate the feasibility of using the CAVIRE system to assess cognitive function of participants across different age groups from 35 to 84 years old. The secondary aims are to determine the CAVIRE performance-indices (completion time and scores) of the participants and to assess their acceptability toward the use of CAVIRE as a modality for cognitive assessment. Methods: One hundred and seventy-five participants will be assessed by CAVIRE at a primary care clinic in Singapore. They will be first assessed using questionnaires: Montreal Cognitive Assessment (MoCA), Abbreviated Mental Test (AMT), Mini-Mental State Examination (MMSE), Basic Activities of Daily Living (BADLs), Instrumental Activities of Daily Living (IADLs). Those aged 65-84 years will be grouped into cognitively intact (n = 50, MoCA score ≥ 26) and cognitively impaired (n = 50, MoCA < 26). The CAVIRE performance-indices of cognitively healthy younger participants aged 35-64 years (n = 75) will serve as benchmark references. CAVIRE auto-computes the participant's performance-indices in 13 different segments. The tasks include domestic chores, memory, shopping, and social interactions. The proportion of participants who complete the entire VR assessment in each age group will be evaluated as feasibility indicators. The CAVIRE performance-indices will be compared across the different age groups. Feedback on the acceptability of the CAVIRE system will be collated and compared among the participants across the age groups. Significance: CAVIRE is designed to assess the six domains of cognitive function using VR. The results of this feasibility study will provide insights for the implementation of the CAVIRE system as an alternative modality of cognitive assessment in the community.",Lim JE; Wong WT; Teh TA; Lim SH; Allen JC Jr; Quah JHM; Malhotra R; Tan NC,2020,Frontiers in aging neuroscience,Journal Article,10.3389/fnagi.2020.604670,33488382,TRUE,NA,NA,NA,NA,,,excluded,wrong_study_design,high,Protocol/registered report without completed intervention results,dementia_population; vr_technology; psychosocial_component; intervention_language; protocol; assessment_language; title_vr_technology; title_psychosocial_component,no,rule_based_triage,,yes
VRD0088|A Literature Overview of Virtual Reality (VR) in Treatment of Psychiatric Disorders: Recent Advances and Limitations.,VRD0088,PubMed,A Literature Overview of Virtual Reality (VR) in Treatment of Psychiatric Disorders: Recent Advances and Limitations.,"In this paper, we conduct a literature survey on various virtual reality (VR) treatments in psychiatry. We collected 36 studies that used VR to provide clinical trials or therapies for patients with psychiatric disorders. In order to gain a better understanding of the management of pain and stress, we first investigate VR applications for patients to alleviate pain and stress during immersive activities in a virtual environment. VR exposure therapies are particularly effective for anxiety, provoking realistic reactions to feared stimuli. On top of that, exposure therapies with simulated images are beneficial for patients with psychiatric disorders such as phobia and posttraumatic stress disorder (PTSD). Moreover, VR environments have shown the possibility of changing depression, cognition, even social functions. We review empirical evidence from VR-based treatments on psychiatric illnesses such as dementia, mild cognitive impairment (MCI), schizophrenia and autism. Through cognitive training and social skill training, rehabilitation through VR therapies helps patients to improve their quality of life. Recent advances in VR technology also demonstrate potential abilities to address cognitive and functional impairments in dementia. In terms of the different types of VR systems, we discuss the feasibility of the technology within different stages of dementia as well as the methodological limitations. Although there is room for improvement, its widespread adoption in psychiatry is yet to occur due to technical drawbacks such as motion sickness and dry eyes, as well as user issues such as preoccupation and addiction. However, it is worth mentioning that VR systems relatively easily deliver virtual environments with well-controlled sensory stimuli. In the future, VR systems may become an innovative clinical tool for patients with specific psychiatric symptoms.",Park MJ; Kim DJ; Lee U; Na EJ; Jeon HJ,2019,Frontiers in psychiatry,Journal Article; Review,10.3389/fpsyt.2019.00505,31379623,TRUE,NA,NA,NA,NA,,,excluded,wrong_study_design,high,Review/bibliometric study; no primary intervention data; retain for background and citation searching,dementia_population; vr_technology; psychosocial_component; intervention_language; review; physical_or_cognitive_training; mci_language; title_vr_technology,no,rule_based_triage,,yes
VRD0143|A Mini-Review of Virtual Reality-Based Interventions to Promote Well-Being for People Living with Dementia and Mild Cognitive Impairment.,VRD0143,PubMed,A Mini-Review of Virtual Reality-Based Interventions to Promote Well-Being for People Living with Dementia and Mild Cognitive Impairment.,"Assistive technology including virtual reality and augmented reality has gained interest as a novel intervention in a range of clinical settings. This technology has the potential to provide mental stimulation, a connection to autobiographical memory through reminiscence, and enhanced quality of life (QoL) to people living with dementia (PLWD) and mild cognitive impairment (MCI). In this mini-review, we examine the available evidence from studies reporting on the potential benefits of virtual and augmented reality to provide enjoyable, leisurely activities that may promote QoL and psychological well-being and facilitate social interaction. In total, 10 studies of varying study designs and durations (5 min to 6 months) using virtual (n = 9) and augmented reality (n = 1) were examined in PLWD (n = 6) and MCI (n= 3), in addition to 1 study that included participants with both conditions. Overall, the virtual experiences were enjoyed by the participants, improved their mood and apathy, and were preferred when compared with nonvirtual experiences. However, small sample sizes and variations in study design limit the generalizability of the results. Nevertheless, the use of virtual and augmented reality technology for PLWD and MCI is a novel and emerging method which may provide cognitive stimulation and improve well-being. Future research should explore the potential application of this technology to promote social interaction in both the community and aged care settings. We suggest future studies in PLWD and MCI assess the effects of more sustained use of virtual and augmented reality technology on psychological outcomes including QoL, apathy, and depressive symptoms, with the incorporation of physiological biomarker outcomes.",D'Cunha NM; Nguyen D; Naumovski N; McKune AJ; Kellett J; Georgousopoulou EN; Frost J; Isbel S,2019,Gerontology,"Journal Article; Research Support, Non-U.S. Gov't; Review",10.1159/000500040,31108489,TRUE,NA,NA,NA,NA,,,excluded,wrong_study_design,high,Review/bibliometric study; no primary intervention data; retain for background and citation searching,dementia_population; vr_technology; psychosocial_component; intervention_language; review; assessment_language; mci_language; title_dementia_population; title_vr_technology; title_psychosocial_component; patient_participant_phrase,no,rule_based_triage,,yes
VRD0096|A Novel Virtual Reality Assessment of Functional Cognition: Validation Study.,VRD0096,PubMed,A Novel Virtual Reality Assessment of Functional Cognition: Validation Study.,"BACKGROUND: Cognitive deficits are present in several neuropsychiatric disorders, including Alzheimer disease, schizophrenia, and depression. Assessments used to measure cognition in these disorders are time-consuming, burdensome, and have low ecological validity. To address these limitations, we developed a novel virtual reality shopping task-VStore. OBJECTIVE: This study aims to establish the construct validity of VStore in relation to the established computerized cognitive battery, Cogstate, and explore its sensitivity to age-related cognitive decline. METHODS: A total of 142 healthy volunteers aged 20-79 years participated in the study. The main VStore outcomes included verbal recall of 12 grocery items, time to collect items, time to select items on a self-checkout machine, time to make the payment, time to order coffee, and total completion time. Construct validity was examined through a series of backward elimination regression models to establish which Cogstate tasks, measuring attention, processing speed, verbal and visual learning, working memory, executive function, and paired associate learning, in addition to age and technological familiarity, best predicted VStore performance. In addition, 2 ridge regression and 2 logistic regression models supplemented with receiver operating characteristic curves were built, with VStore outcomes in the first model and Cogstate outcomes in the second model entered as predictors of age and age cohorts, respectively. RESULTS: Overall VStore performance, as indexed by the total time spent completing the task, was best explained by Cogstate tasks measuring attention, working memory, paired associate learning, and age and technological familiarity, accounting for 47% of the variance. In addition, with λ=5.16, the ridge regression model selected 5 parameters for VStore when predicting age (mean squared error 185.80, SE 19.34), and with λ=9.49 for Cogstate, the model selected all 8 tasks (mean squared error 226.80, SE 23.48). Finally, VStore was found to be highly sensitive (87%) and specific (91.7%) to age cohorts, with 94.6% of the area under the receiver operating characteristic curve. CONCLUSIONS: Our findings suggest that VStore is a promising assessment that engages standard cognitive domains and is sensitive to age-related cognitive decline.",Porffy LA; Mehta MA; Patchitt J; Boussebaa C; Brett J; D'Oliveira T; Mouchlianitis E; Shergill SS,2022,Journal of medical Internet research,"Journal Article; Research Support, Non-U.S. Gov't",10.2196/27641,35080501,TRUE,NA,NA,NA,NA,,,excluded,wrong_intervention,high,"VR used for assessment, diagnosis, or biomarker measurement without a psychosocial component",dementia_population; vr_technology; psychosocial_component; assessment_language; title_vr_technology; clear_assessment_title,no,rule_based_triage,,no
